Date,Adj Close
2020-09-17,63.48
2020-09-18,63.02
2020-09-21,61.48
2020-09-22,60.86
2020-09-23,57.97
2020-09-24,57.85
2020-09-25,57.88
2020-09-28,59.57
2020-09-29,57.93
2020-09-30,58.01
2020-10-01,56.74
2020-10-02,57.36
2020-10-05,58.58
2020-10-06,58.25
2020-10-07,59.45
2020-10-08,60.61
2020-10-09,59.62
2020-10-12,60.03
2020-10-13,59.14
2020-10-14,58.78
2020-10-15,59.23
2020-10-16,58.73
2020-10-19,57.43
2020-10-20,57.75
2020-10-21,57.1
2020-10-22,59.14
2020-10-23,58.47
2020-10-26,57.16
2020-10-27,56.01
2020-10-28,53.89
2020-10-29,55.43
2020-10-30,56.0
2020-11-02,58.13
2020-11-03,57.8
2020-11-04,57.83
2020-11-05,58.13
2020-11-06,57.33
2020-11-09,63.97
2020-11-10,66.93
2020-11-11,66.44
2020-11-12,65.0
2020-11-13,66.9
2020-11-16,71.68
2020-11-17,71.16
2020-11-18,68.91
2020-11-19,70.09
2020-11-20,70.14
2020-11-23,74.42
2020-11-24,78.18
2020-11-25,75.33
2020-11-27,74.65
2020-11-30,71.28
2020-12-01,71.5
2020-12-02,73.48
2020-12-03,73.42
2020-12-04,76.26
2020-12-07,74.2
2020-12-08,74.84
2020-12-09,73.94
2020-12-10,76.32
2020-12-11,75.59
2020-12-14,73.12
2020-12-15,73.07
2020-12-16,72.51
2020-12-17,72.28
2020-12-18,71.29
2020-12-21,70.39
2020-12-22,68.97
2020-12-23,70.06
2020-12-24,69.76
2020-12-28,69.41
2020-12-29,69.18
2020-12-30,69.76
2020-12-31,69.05
2021-01-04,69.26
2021-01-05,71.13
2021-01-06,73.42
2021-01-07,73.76
2021-01-08,74.47
2021-01-11,74.89
2021-01-12,76.31
2021-01-13,76.24
2021-01-14,78.07
2021-01-15,75.29
2021-01-19,77.27
2021-01-20,77.98
2021-01-21,75.23
2021-01-22,75.0
2021-01-25,74.32
2021-01-26,73.06
2021-01-27,72.11
2021-01-28,72.78
2021-01-29,69.66
2021-02-01,70.65
2021-02-02,71.18
2021-02-03,72.73
2021-02-04,72.77
2021-02-05,72.98
2021-02-08,74.79
2021-02-09,74.37
2021-02-10,75.64
2021-02-11,75.23
2021-02-12,75.67
2021-02-16,77.22
2021-02-17,79.53
2021-02-18,78.77
2021-02-19,79.43
2021-02-22,81.58
2021-02-23,82.61
2021-02-24,85.66
2021-02-25,84.86
2021-02-26,82.91
2021-03-01,84.61
2021-03-02,84.94
2021-03-03,85.89
2021-03-04,86.65
2021-03-05,90.38
2021-03-08,91.0
2021-03-09,90.79
2021-03-10,92.34
2021-03-11,92.19
2021-03-12,92.5
2021-03-15,91.41
2021-03-16,89.25
2021-03-17,89.57
2021-03-18,86.33
2021-03-19,85.72
2021-03-22,85.02
2021-03-23,84.55
2021-03-24,86.81
2021-03-25,87.12
2021-03-26,89.12
2021-03-29,88.65
2021-03-30,87.83
2021-03-31,86.89
2021-04-01,87.68
2021-04-05,86.65
2021-04-06,85.88
2021-04-07,86.39
